date,stepCount,stepsDistance,calories,sleepQuality,sleepDuration,inactivityAlertCount,dailyMetMinutes,maximumHeartRate,NO_DATA,SLEEP,SEDENTARY,LIGHT,CONTINUOS_MODERATE,INTERMITTENT_MODERATE,CONTINUOS_VIGOROUS,INTERMITTENT_VIGOROUS,NON_WEAR,sleepDuration_sec
2024-12-24,0,0.0,1368,0.0,00:00:00,0,0.4500000000000002,197.0,0,03:10:30,00:00:00,00:02:30,00:00:00,00:00:00,00:00:00,00:00:00,20:47:00,00:00:00
2021-03-20,24473,16324.0087890625,3205,0.864929,07:02:00,0,745.3,,0,10:17:00,04:54:30,04:59:30,02:36:30,00:00:00,01:12:30,00:00:00,00:00:00,07:02:00
2024-08-20,19564,12284.529296875,2762,0.903907,07:53:30,0,327.74999999999994,197.0,0,09:14:30,03:57:00,08:39:30,01:49:00,00:00:00,00:20:00,00:00:00,00:00:00,07:53:30
2022-10-27,24568,16052.2646484375,3200,0.861557,06:44:30,0,578.2500000000006,197.0,0,06:36:30,04:42:00,09:03:30,02:07:00,00:00:00,00:51:00,00:00:00,00:40:00,06:44:30
2019-05-14,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2021-11-12,0,0.0,1365,0.0,00:00:00,0,0.15000000000000002,,0,00:10:30,00:00:00,00:00:30,00:00:00,00:00:00,00:00:00,00:00:00,23:49:00,00:00:00
2024-07-25,19753,14064.16015625,3144,0.827125,08:43:30,0,613.9499999999992,197.0,0,08:31:00,04:12:30,08:06:30,01:21:30,00:00:00,01:24:30,00:00:00,00:24:00,08:43:30
2022-06-23,18344,11262.1796875,2808,0.863799,06:58:30,0,412.30000000000047,197.0,0,07:48:00,06:54:00,06:14:00,02:31:00,00:00:00,00:33:00,00:00:00,00:00:00,06:58:30
2019-08-15,0,0.0,1255,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2021-10-21,7284,3744.197509765625,2219,0.843066,06:51:00,0,201.34999999999994,,0,08:48:00,06:12:30,04:13:30,01:40:30,00:00:00,00:00:00,00:00:00,03:05:30,06:51:00
2021-04-27,24747,17081.513671875,3221,0.850575,08:42:00,0,710.1999999999998,,0,07:27:30,05:59:00,05:57:30,02:12:30,00:00:00,01:26:00,00:00:00,00:57:30,08:42:00
2024-06-15,19715,12272.7451171875,2300,0.812865,05:42:00,0,94.25000000000003,197.0,0,10:44:30,02:31:00,08:25:30,00:40:00,00:00:00,00:03:00,00:00:00,01:36:00,05:42:00
2022-07-20,14385,7779.6328125,2540,0.0,00:00:00,0,236.99999999999994,197.0,0,01:18:00,07:27:00,07:06:30,01:48:00,00:00:00,00:00:00,00:00:00,06:20:30,00:00:00
2021-09-17,13410,7562.67919921875,2759,0.903723,06:29:30,0,319.3500000000002,,0,05:56:00,07:29:00,08:15:30,02:11:30,00:00:00,00:08:00,00:00:00,00:00:00,06:29:30
2024-12-19,15450,8675.2001953125,2728,0.854,08:20:00,0,297.05000000000024,197.0,0,06:59:00,06:41:00,08:07:00,01:49:30,00:00:00,00:23:30,00:00:00,00:00:00,08:20:00
2023-01-06,9446,4968.3642578125,2450,0.830479,09:44:00,0,193.55000000000015,197.0,0,07:35:00,07:54:00,06:37:00,01:38:30,00:00:00,00:01:00,00:00:00,00:14:30,09:44:00
2025-06-11,10896,5615.55322265625,2522,0.868852,07:07:00,0,282.6000000000003,197.0,0,08:03:00,04:58:30,07:23:00,02:01:00,00:00:00,00:09:00,00:00:00,01:25:30,07:07:00
2024-04-03,5792,3018.134765625,1681,0.0,00:00:00,0,88.55000000000001,197.0,0,01:25:30,02:35:30,01:54:00,00:49:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2023-03-17,8520,4529.1708984375,2278,0.861432,07:13:00,0,188.55000000000015,197.0,0,10:14:30,07:32:00,04:40:30,01:29:30,00:00:00,00:03:30,00:00:00,00:00:00,07:13:00
2019-05-15,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2025-01-06,0,0.0,1363,0.0,00:00:00,0,0.0,197.0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
