date,name,startTime,stopTime,timeZoneOffset,distance,duration,kiloCalories,maximumHeartRate,averageHeartRate,duration_minutes,vo2Max,restingHeartRate,anaerobicThreshold,functionalThresholdPower,sleepGoal,sport,minHeartRate
2023-01-30,,10:26:14,12:54:03,60,4902.10009765625,02:27:49,1105.0,197,133.0,02:27:49,45,55.0,177.0,177.0,8.0,BACKCOUNTRY_SKIING,83.0
2025-06-24,,20:34:40,21:07:01,120,5392.7998046875,00:32:21,286.0,197,150.0,00:32:21,44,55.0,177.0,172.0,8.0,RUNNING,99.0
2021-09-15,,19:10:14,20:08:08,120,,00:57:54,326.0,194,114.0,00:57:54,45,55.0,175.0,177.0,8.0,FUNCTIONAL_TRAINING,77.0
2025-05-28,,18:11:17,19:39:36,120,,01:28:19,244.0,197,125.0,01:28:19,44,55.0,177.0,172.0,8.0,VERTICALSPORTS_WALLCLIMBING,76.0
2024-08-12,,19:36:51,20:09:52,120,5893.2998046875,00:33:01,315.0,197,156.0,00:33:01,44,55.0,177.0,172.0,8.0,RUNNING,85.0
2022-07-30,,10:30:19,14:01:40,120,9074.7998046875,03:31:21,1455.0,197,124.0,03:31:21,45,55.0,177.0,177.0,8.0,HIKING,67.0
2016-07-17,Laufen,11:52:21,13:13:39,120,4745.60009765625,01:21:18,414.0,199,,01:21:18,44,55.0,179.0,,,RUNNING,
2021-10-28,,05:59:24,06:34:35,120,6039.2001953125,00:35:11,346.0,194,157.0,00:35:11,45,55.0,175.0,177.0,8.0,JOGGING,98.0
2024-08-10,,07:58:12,13:41:24,120,16314.599609375,05:43:12,1867.0,197,110.0,05:43:12,44,55.0,177.0,172.0,8.0,HIKING,66.0
2024-01-16,,17:07:57,18:10:49,60,10234.2998046875,01:02:52,582.0,197,153.0,01:02:52,44,55.0,177.0,172.0,8.0,RUNNING,106.0
2018-05-06,Laufen,12:01:08,13:02:35,120,10045.099609375,01:01:27,563.0,197,,01:01:27,45,55.0,177.0,,,RUNNING,
2020-04-22,Laufen,20:00:46,20:41:33,120,6643.39990234375,00:40:47,385.0,195,,00:40:47,46,55.0,176.0,,,RUNNING,
2022-02-06,,08:45:58,11:52:31,60,6253.2001953125,03:06:33,1438.0,194,150.0,03:06:33,45,55.0,175.0,177.0,8.0,BACKCOUNTRY_SKIING,87.0
2022-09-21,,20:08:03,21:07:28,120,10383.599609375,00:59:25,627.0,197,167.0,00:59:25,45,55.0,177.0,177.0,8.0,RUNNING,91.0
2021-07-03,,07:52:15,08:33:21,120,6027.0,00:41:06,334.0,194,135.0,00:41:06,45,55.0,175.0,177.0,8.0,JOGGING,92.0
2021-08-26,,19:02:42,19:54:13,120,,00:51:31,280.0,194,113.0,00:51:31,45,55.0,175.0,177.0,8.0,FUNCTIONAL_TRAINING,76.0
2025-06-16,,16:34:23,18:14:19,120,12637.7001953125,01:39:56,942.0,197,158.0,01:39:56,44,55.0,177.0,172.0,8.0,RUNNING,103.0
2022-04-14,,19:05:10,19:35:34,120,0.0,00:30:24,149.0,197,108.0,00:30:24,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,70.0
2022-01-23,,08:21:59,12:34:41,60,8945.7998046875,04:12:42,1970.0,194,152.0,04:12:42,45,55.0,175.0,177.0,8.0,BACKCOUNTRY_SKIING,99.0
2019-05-02,Laufen,19:52:03,20:17:14,120,4745.60009765625,00:25:11,231.0,196,,00:25:11,45,55.0,176.0,256.0,,RUNNING,
2024-06-18,,17:19:56,17:58:17,120,5763.60009765625,00:38:21,369.0,197,161.0,00:38:21,44,55.0,177.0,172.0,8.0,RUNNING,104.0
2024-09-23,,16:38:54,17:36:48,120,9504.7001953125,00:57:54,511.0,197,161.0,00:57:54,44,55.0,177.0,172.0,8.0,RUNNING,95.0
2024-01-17,,19:08:49,19:50:01,60,,00:41:12,325.0,197,139.0,00:41:12,44,55.0,177.0,172.0,8.0,INDOOR_CYCLING,106.0
2025-04-21,,12:35:26,15:04:59,120,,02:29:33,198.0,197,117.0,02:29:33,44,55.0,177.0,172.0,8.0,VERTICALSPORTS_WALLCLIMBING,85.0
2022-06-23,,06:01:13,06:33:53,120,,00:32:40,226.0,197,125.0,00:32:40,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,70.0
2020-06-14,Laufen,13:12:52,13:52:26,120,6631.5,00:39:34,364.0,195,,00:39:34,46,55.0,176.0,,,RUNNING,
2023-12-16,,23:54:57,00:32:35,0,6259.2001953125,00:37:38,359.0,197,157.0,00:37:38,44,55.0,177.0,172.0,8.0,RUNNING,114.0
2022-03-27,,17:19:10,17:59:21,120,0.0,00:40:11,299.0,197,134.0,00:40:11,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,92.0
2023-10-03,,16:46:19,17:40:43,120,9566.900390625,00:54:24,537.0,197,166.0,00:54:24,44,55.0,177.0,172.0,8.0,RUNNING,89.0
2025-08-08,,21:02:27,22:18:39,120,11643.5,01:16:12,697.0,197,153.0,01:16:12,44,55.0,177.0,172.0,8.0,RUNNING,85.0
2024-10-18,,11:16:47,11:50:05,120,6261.7998046875,00:33:18,320.0,197,157.0,00:33:18,44,55.0,177.0,172.0,8.0,RUNNING,94.0
2024-10-23,,20:04:04,21:00:59,120,,00:56:55,386.0,197,144.0,00:56:55,44,55.0,177.0,172.0,8.0,INDOOR_CYCLING,97.0
2015-09-07,Laufen,11:47:55,12:50:07,120,8364.400390625,01:02:12,664.0,200,169.0,01:02:12,41,55.0,180.0,,,RUNNING,153.0
2025-03-08,,17:08:31,17:50:50,60,7249.39990234375,00:42:19,396.0,197,154.0,00:42:19,44,55.0,177.0,172.0,8.0,RUNNING,115.0
2023-11-17,,15:35:38,16:35:31,60,10369.599609375,00:59:53,582.0,197,159.0,00:59:53,44,55.0,177.0,172.0,8.0,RUNNING,84.0
2022-06-21,,06:02:04,06:36:23,120,,00:34:19,162.0,197,106.0,00:34:19,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,77.0
2024-02-26,,17:35:18,18:36:40,60,6612.7998046875,01:01:22,553.0,197,152.0,01:01:22,44,55.0,177.0,172.0,8.0,RUNNING,96.0
2023-05-08,,17:10:53,17:19:19,120,1460.5,00:08:26,25.0,197,126.0,00:08:26,44,55.0,177.0,172.0,8.0,ROAD_BIKING,89.0
2023-06-11,,09:25:00,16:03:00,120,112900.0,06:38:00,,197,,06:38:00,44,55.0,177.0,172.0,8.0,TRIATHLON,
2021-11-03,,19:14:46,19:46:42,60,,00:31:56,228.0,194,142.0,00:31:56,45,55.0,175.0,177.0,8.0,FUNCTIONAL_TRAINING,78.0
2023-01-21,,14:08:01,14:40:00,60,,00:31:59,117.0,197,96.0,00:31:59,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,74.0
2022-05-17,,19:05:21,19:46:32,120,0.0,00:41:11,254.0,197,118.0,00:41:11,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,75.0
2021-10-24,,13:42:49,14:49:55,120,9892.0,01:07:06,636.0,194,157.0,01:07:06,45,55.0,175.0,177.0,8.0,MOUNTAIN_BIKING,92.0
2020-04-23,Laufen,19:53:51,20:32:01,120,6656.60009765625,00:38:10,397.0,195,,00:38:10,46,55.0,176.0,,,RUNNING,
2023-02-16,,19:34:30,21:04:53,60,,01:30:23,660.0,197,126.0,01:30:23,45,55.0,177.0,177.0,8.0,INDOOR_CYCLING,94.0
2023-04-26,,19:21:51,19:55:43,120,6317.0,00:33:52,338.0,197,162.0,00:33:52,44,55.0,177.0,172.0,8.0,RUNNING,110.0
2022-03-24,,06:04:17,06:37:18,60,0.0,00:33:01,166.0,197,108.0,00:33:01,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,77.0
2023-02-05,,12:49:42,13:20:34,60,1400.0,00:30:52,257.0,197,140.0,00:30:52,45,55.0,177.0,177.0,8.0,POOL_SWIMMING,80.0
2020-04-13,Laufen,17:26:06,17:33:34,120,595.4000244140625,00:07:28,35.0,196,,00:07:28,45,55.0,176.0,,,RUNNING,
2020-05-04,Laufen,17:13:46,17:53:59,120,6865.5,00:40:13,392.0,195,,00:40:13,46,55.0,176.0,256.0,,RUNNING,
2025-01-14,,17:05:33,17:47:37,60,6203.7998046875,00:42:04,357.0,197,143.0,00:42:04,44,55.0,177.0,172.0,8.0,RUNNING,98.0
2022-06-20,,20:16:03,21:00:09,120,6362.7001953125,00:44:06,414.0,197,152.0,00:44:06,45,55.0,177.0,177.0,8.0,RUNNING,106.0
2022-12-08,,19:41:52,20:28:15,60,7881.2998046875,00:46:23,453.0,197,158.0,00:46:23,45,55.0,177.0,177.0,8.0,RUNNING,118.0
2024-01-31,,16:53:48,17:24:20,60,,00:30:32,158.0,197,110.0,00:30:32,44,55.0,177.0,172.0,8.0,BODY_AND_MIND,84.0
2015-05-27,Laufen,20:17:06,21:17:10,120,10437.7001953125,01:00:04,695.0,200,174.0,01:00:04,42,55.0,180.0,,,RUNNING,97.0
